2017-11-04 20:24:46,066 | INFO  | FelixStartLevel  | CXFActivator                     | 57 - org.apache.cxf.cxf-core - 3.1.9 | Adding the extensions from bundle org.apache.cxf.cxf-rt-transports-http (82) [org.apache.cxf.transport.http.HTTPTransportFactory, org.apache.cxf.transport.http.HTTPWSDLExtensionLoader, org.apache.cxf.transport.http.policy.HTTPClientAssertionBuilder, org.apache.cxf.transport.http.policy.HTTPServerAssertionBuilder, org.apache.cxf.transport.http.policy.NoOpPolicyInterceptorProvider]
2017-11-04 20:24:46,104 | INFO  | FelixStartLevel  | CXFActivator                     | 57 - org.apache.cxf.cxf-core - 3.1.9 | Adding the extensions from bundle org.apache.cxf.cxf-rt-frontend-jaxws (71) [org.apache.cxf.jaxws.context.WebServiceContextResourceResolver]
2017-11-04 20:24:46,163 | INFO  | FelixStartLevel  | CXFActivator                     | 57 - org.apache.cxf.cxf-core - 3.1.9 | Adding the extensions from bundle org.apache.cxf.cxf-rt-javascript (74) [org.apache.cxf.javascript.JavascriptServerListener]
2017-11-04 20:24:46,191 | INFO  | FelixStartLevel  | CXFActivator                     | 57 - org.apache.cxf.cxf-core - 3.1.9 | Adding the extensions from bundle org.apache.cxf.cxf-rt-management (75) [org.apache.cxf.management.InstrumentationManager]
2017-11-04 20:24:46,400 | INFO  | FelixStartLevel  | HttpServiceFactoryImpl           | 213 - org.ops4j.pax.web.pax-web-runtime - 4.3.0 | Binding bundle: [org.apache.cxf.cxf-rt-transports-http [82]] to http service
2017-11-04 20:24:46,519 | INFO  | FelixStartLevel  | CXFActivator                     | 57 - org.apache.cxf.cxf-core - 3.1.9 | Adding the extensions from bundle org.apache.cxf.cxf-rt-transports-http-jetty (83) [org.apache.cxf.transport.http_jetty.JettyDestinationFactory, org.apache.cxf.transport.http_jetty.JettyHTTPServerEngineFactory, org.apache.cxf.transport.http.ContinuationProviderFactory]
2017-11-04 20:24:46,770 | INFO  | pache.cxf.osgi]) | JettyServerWrapper               | 211 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | will add org.springframework.web.SpringServletContainerInitializer to ServletContainerInitializers
2017-11-04 20:24:46,773 | WARN  | pache.cxf.osgi]) | JettyServerWrapper               | 211 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | failed to parse and instantiate of javax.servlet.ServletContainerInitializer in classpath
2017-11-04 20:24:46,773 | INFO  | pache.cxf.osgi]) | JettyServerWrapper               | 211 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | will add org.apache.jasper.servlet.JasperInitializer to ServletContainerInitializers
2017-11-04 20:24:46,774 | INFO  | pache.cxf.osgi]) | JettyServerWrapper               | 211 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | Skipt org.apache.jasper.servlet.JasperInitializer, because specialized handler will be present
2017-11-04 20:24:46,781 | INFO  | pache.cxf.osgi]) | JettyServerWrapper               | 211 - org.ops4j.pax.web.pax-web-jetty - 4.3.0 | will add org.eclipse.jetty.websocket.jsr356.server.deploy.WebSocketServerContainerInitializer to ServletContainerInitializers
2017-11-04 20:24:46,790 | INFO  | FelixStartLevel  | CXFActivator                     | 57 - org.apache.cxf.cxf-core - 3.1.9 | Adding the extensions from bundle org.apache.cxf.cxf-rt-transports-jms (84) [org.apache.cxf.transport.jms.JMSTransportFactory, org.apache.cxf.transport.jms.wsdl11.JMSWSDLExtensionLoader]
2017-11-04 20:24:46,802 | INFO  | FelixStartLevel  | CXFActivator                     | 57 - org.apache.cxf.cxf-core - 3.1.9 | Adding the extensions from bundle org.apache.cxf.cxf-rt-transports-udp (86) [org.apache.cxf.transport.udp.UDPTransportFactory]
2017-11-04 20:24:46,819 | INFO  | FelixStartLevel  | CXFActivator                     | 57 - org.apache.cxf.cxf-core - 3.1.9 | Adding the extensions from bundle org.apache.cxf.cxf-rt-ws-addr (87) [org.apache.cxf.ws.addressing.policy.AddressingAssertionBuilder, org.apache.cxf.ws.addressing.policy.UsingAddressingAssertionBuilder, org.apache.cxf.ws.addressing.policy.AddressingPolicyInterceptorProvider, org.apache.cxf.ws.addressing.impl.AddressingWSDLExtensionLoader, org.apache.cxf.ws.addressing.WSAddressingFeature$WSAddressingFeatureApplier, org.apache.cxf.ws.addressing.MAPAggregator$MAPAggregatorLoader]
2017-11-04 20:24:46,841 | INFO  | FelixStartLevel  | CXFActivator                     | 57 - org.apache.cxf.cxf-core - 3.1.9 | Adding the extensions from bundle org.apache.cxf.cxf-rt-ws-mex (88) [org.apache.cxf.ws.mex.MEXServerListener]
2017-11-04 20:24:46,908 | INFO  | FelixStartLevel  | CXFActivator                     | 57 - org.apache.cxf.cxf-core - 3.1.9 | Adding the extensions from bundle org.apache.cxf.cxf-rt-ws-rm (90) [org.apache.cxf.ws.rm.RMManager, org.apache.cxf.ws.rm.policy.RMPolicyInterceptorProvider, org.apache.cxf.ws.rm.policy.RM10AssertionBuilder, org.apache.cxf.ws.rm.policy.RM12AssertionBuilder, org.apache.cxf.ws.rm.policy.WSRMP12PolicyLoader, org.apache.cxf.ws.rm.policy.MC11PolicyLoader, org.apache.cxf.ws.rm.policy.RSPPolicyLoader]
